Équipe,# JC,90,Buts,Tirs,TC,TC%,Tir/90,TC/90,B/Tir,B/TC,Dist,CF,PénM,PénT,xG,npxG,npxG/Sh,G-xG,np:G-xG
Arminia,19,5.0,3,59,18,30.5,11.80,3.60,0.05,0.17,17.5,2,0,0,5.1,5.1,0.09,-2.1,-2.1
Augsburg,21,5.0,2,45,11,24.4,9.00,2.20,0.04,0.18,16.2,0,0,0,4.1,4.1,0.09,-2.1,-2.1
Bayern Munich,22,5.0,19,96,41,42.7,19.20,8.20,0.19,0.44,13.9,2,1,1,17.1,16.4,0.18,+1.9,+1.6
Bochum,21,5.0,4,52,13,25.0,10.40,2.60,0.08,0.31,19.7,6,0,0,5.1,5.1,0.10,-1.1,-1.1
Dortmund,23,5.0,15,80,33,41.3,16.00,6.60,0.18,0.42,15.8,2,1,1,11.2,10.4,0.13,+3.8,+3.6
Eint Frankfurt,20,5.0,4,63,17,27.0,12.60,3.40,0.06,0.24,16.7,2,0,0,6.5,6.5,0.10,-3.5,-3.5
Freiburg,22,5.0,5,57,21,36.8,11.40,4.20,0.09,0.24,15.3,2,0,0,5.0,5.0,0.09,0.0,0.0
Greuther Fürth,22,5.0,3,53,15,28.3,10.60,3.00,0.02,0.07,18.1,1,2,2,5.3,3.9,0.07,-2.3,-2.9
Hertha BSC,26,5.0,6,50,19,38.0,10.00,3.80,0.10,0.26,18.4,2,1,1,5.3,4.5,0.10,+0.7,+0.5
Hoffenheim,22,5.0,8,59,20,33.9,11.80,4.00,0.14,0.40,14.7,3,0,0,8.6,8.6,0.15,-0.6,-0.6
Köln,21,5.0,9,75,24,32.0,15.00,4.80,0.12,0.38,16.3,2,0,0,7.0,7.0,0.09,+2.0,+2.0
Leverkusen,21,5.0,12,59,22,37.3,11.80,4.40,0.20,0.55,16.8,2,0,0,7.2,7.2,0.12,+4.8,+4.8
M'Gladbach,20,5.0,5,71,18,25.4,14.20,3.60,0.07,0.28,17.0,3,0,1,8.6,7.8,0.11,-3.6,-2.8
Mainz 05,23,5.0,6,66,22,33.3,13.20,4.40,0.09,0.27,15.9,1,0,0,6.5,6.5,0.10,-0.5,-0.5
RB Leipzig,20,5.0,6,80,27,33.8,16.00,5.40,0.06,0.19,16.9,6,1,1,8.1,7.5,0.10,-2.1,-2.5
Stuttgart,23,5.0,9,88,36,40.9,17.60,7.20,0.10,0.25,16.3,2,0,0,9.2,9.2,0.11,-0.2,-0.2
Union Berlin,22,5.0,7,57,25,43.9,11.40,5.00,0.11,0.24,15.2,2,1,1,6.7,6.0,0.11,+0.3,0.0
Wolfsburg,20,5.0,7,62,20,32.3,12.40,4.00,0.10,0.30,16.5,2,1,2,7.4,6.2,0.10,-1.4,-1.2
